,date,actions
891,2023-09-14,[0]
892,2023-09-15,[0]
893,2023-09-18,[0]
894,2023-09-19,[0]
895,2023-09-20,[0]
896,2023-09-21,[0]
897,2023-09-22,[0]
898,2023-09-25,[0]
899,2023-09-26,[0]
900,2023-09-27,[0]
901,2023-09-28,[0]
902,2023-09-29,[0]
903,2023-10-02,[0]
904,2023-10-03,[0]
905,2023-10-04,[0]
906,2023-10-05,[0]
907,2023-10-06,[0]
908,2023-10-09,[0]
909,2023-10-10,[0]
910,2023-10-11,[0]
911,2023-10-12,[0]
912,2023-10-13,[0]
913,2023-10-16,[0]
914,2023-10-17,[0]
915,2023-10-18,[0]
916,2023-10-19,[0]
917,2023-10-20,[0]
918,2023-10-23,[0]
919,2023-10-24,[0]
920,2023-10-25,[0]
921,2023-10-26,[0]
922,2023-10-27,[0]
923,2023-10-30,[0]
924,2023-10-31,[0]
925,2023-11-01,[0]
926,2023-11-02,[0]
927,2023-11-03,[0]
928,2023-11-06,[0]
929,2023-11-07,[0]
930,2023-11-08,[0]
931,2023-11-09,[0]
932,2023-11-10,[0]
933,2023-11-13,[0]
934,2023-11-14,[0]
935,2023-11-15,[0]
936,2023-11-16,[0]
937,2023-11-17,[0]
938,2023-11-20,[0]
939,2023-11-21,[0]
940,2023-11-22,[0]
941,2023-11-24,[0]
942,2023-11-27,[0]
943,2023-11-28,[0]
944,2023-11-29,[0]
945,2023-11-30,[0]
946,2023-12-01,[0]
947,2023-12-04,[0]
948,2023-12-05,[0]
949,2023-12-06,[0]
950,2023-12-07,[0]
951,2023-12-08,[0]
952,2023-12-11,[0]
953,2023-12-12,[0]
954,2023-12-13,[0]
955,2023-12-14,[0]
956,2023-12-15,[0]
957,2023-12-18,[0]
958,2023-12-19,[0]
959,2023-12-20,[0]
960,2023-12-21,[0]
961,2023-12-22,[0]
962,2023-12-26,[0]
963,2023-12-27,[0]
964,2023-12-28,[0]
965,2023-12-29,[0]
966,2024-01-02,[0]
967,2024-01-03,[0]
968,2024-01-04,[0]
969,2024-01-05,[0]
970,2024-01-08,[0]
971,2024-01-09,[0]
972,2024-01-10,[0]
973,2024-01-11,[0]
974,2024-01-12,[0]
975,2024-01-16,[0]
976,2024-01-17,[0]
977,2024-01-18,[0]
978,2024-01-19,[0]
979,2024-01-22,[0]
980,2024-01-23,[0]
981,2024-01-24,[0]
982,2024-01-25,[0]
983,2024-01-26,[0]
984,2024-01-29,[0]
985,2024-01-30,[0]
986,2024-01-31,[0]
987,2024-02-01,[0]
988,2024-02-02,[0]
989,2024-02-05,[0]
990,2024-02-06,[0]
991,2024-02-07,[0]
992,2024-02-08,[0]
993,2024-02-09,[0]
994,2024-02-12,[0]
995,2024-02-13,[0]
996,2024-02-14,[0]
997,2024-02-15,[0]
998,2024-02-16,[0]
999,2024-02-20,[0]
1000,2024-02-21,[0]
1001,2024-02-22,[0]
1002,2024-02-23,[0]
1003,2024-02-26,[0]
1004,2024-02-27,[0]
1005,2024-02-28,[0]
1006,2024-02-29,[0]
1007,2024-03-01,[0]
1008,2024-03-04,[0]
1009,2024-03-05,[0]
1010,2024-03-06,[0]
1011,2024-03-07,[0]
1012,2024-03-08,[0]
1013,2024-03-11,[0]
1014,2024-03-12,[0]
1015,2024-03-13,[0]
1016,2024-03-14,[0]
1017,2024-03-15,[0]
1018,2024-03-18,[0]
1019,2024-03-19,[0]
1020,2024-03-20,[0]
1021,2024-03-21,[0]
1022,2024-03-22,[0]
1023,2024-03-25,[0]
1024,2024-03-26,[0]
1025,2024-03-27,[0]
1026,2024-03-28,[0]
1027,2024-04-01,[0]
1028,2024-04-02,[0]
1029,2024-04-03,[0]
1030,2024-04-04,[0]
1031,2024-04-05,[0]
1032,2024-04-08,[0]
1033,2024-04-09,[0]
1034,2024-04-10,[0]
1035,2024-04-11,[0]
1036,2024-04-12,[0]
1037,2024-04-15,[0]
1038,2024-04-16,[0]
1039,2024-04-17,[0]
1040,2024-04-18,[0]
1041,2024-04-19,[0]
1042,2024-04-22,[0]
1043,2024-04-23,[0]
1044,2024-04-24,[0]
1045,2024-04-25,[0]
1046,2024-04-26,[0]
1047,2024-04-29,[0]
1048,2024-04-30,[0]
1049,2024-05-01,[0]
1050,2024-05-02,[0]
1051,2024-05-03,[0]
1052,2024-05-06,[0]
1053,2024-05-07,[0]
1054,2024-05-08,[0]
1055,2024-05-09,[0]
